game,game_url,tags,platforms,final price,original_price
Atomic Heart,https://store.steampowered.com/app/668580/Atomic_Heart/?snr=1_239_new__145,"Horror, Mystery, Puzzle, FPS",Windows,COL$ 199.900,None
My Dream Setup,https://store.steampowered.com/app/2200780/My_Dream_Setup/?snr=1_239_new__145,"Design & Illustration, Simulation, Relaxing, Casual","Windows, Mac OS",COL$ 14.400,COL$ 16.000
Selene ~Apoptosis~,https://store.steampowered.com/app/1398210/Selene_Apoptosis/?snr=1_239_new__145,"Sexual Content, Nudity, Visual Novel, Horror","Windows, Mac OS, Linux",Free,None
WILD HEARTS™,https://store.steampowered.com/app/1938010/WILD_HEARTS/?snr=1_239_new__145,"Action, Adventure, Multiplayer, Co-op",Windows,COL$ 279.999,None
Returnal™,https://store.steampowered.com/app/1649240/Returnal/?snr=1_239_new__145,"Action, Singleplayer, Roguelike, Action Roguelike",Windows,COL$ 194.000,None
Returnal™,https://store.steampowered.com/app/1649240/Returnal/?snr=1_239_new__145,"Action, Singleplayer, Roguelike, Action Roguelike",Windows,COL$ 194.000,None
Tower Escape,https://store.steampowered.com/app/2009860/Tower_Escape/?snr=1_239_new__145,"Roguelike, Creature Collector, Tower Defense, Deckbuilding","Windows, Mac OS, Linux",COL$ 18.900,COL$ 21.000
SkyIsland,https://store.steampowered.com/app/2302640/SkyIsland/?snr=1_239_new__145,"Action, Adventure, Action-Adventure, Exploration",Windows,Free To Play,None
Labyrinth of Galleria: The Moon Society,https://store.steampowered.com/app/1998340/Labyrinth_of_Galleria_The_Moon_Society/?snr=1_239_new__145,"RPG, Strategy, Adventure, Dungeon Crawler",Windows,COL$ 130.000,None
Missing Hiker,https://store.steampowered.com/app/2250090/Missing_Hiker/?snr=1_239_new__145,"Horror, Free to Play, Thriller, Psychological Horror",Windows,Free To Play,None
United heist,https://store.steampowered.com/app/2119740/United_heist/?snr=1_239_new__145,"Co-op Campaign, Puzzle, Adventure, Mystery",Windows,Free,None
Hogwarts Legacy,https://store.steampowered.com/app/990080/Hogwarts_Legacy/?snr=1_239_new__145,"Magic, Fantasy, Open World, Singleplayer",Windows,COL$ 189.999,None
Gloria Victis: Medieval MMORPG,https://store.steampowered.com/app/327070/Gloria_Victis_Medieval_MMORPG/?snr=1_239_new__145,"MMORPG, Medieval, Open World, Massively Multiplayer",Windows,COL$ 40.000,None
Your Only Move Is HUSTLE,https://store.steampowered.com/app/2212330/Your_Only_Move_Is_HUSTLE/?snr=1_239_new__145,"2D Fighter, Turn-Based Strategy, Action, Strategy",Windows,COL$ 13.500,None
X Invader: Prologue,https://store.steampowered.com/app/2214500/X_Invader_Prologue/?snr=1_239_new__145,"Action, Roguelike, Shooter, Action Roguelike",Windows,Free To Play,None
Treason,https://store.steampowered.com/app/1786950/Treason/?snr=1_239_new__145,"FPS, PvP, Investigation, Mystery",Windows,Free To Play,None
HELLCARD: Prologue,https://store.steampowered.com/app/2207480/HELLCARD_Prologue/?snr=1_239_new__145,"Card Battler, Dungeon Crawler, Roguelite, Turn-Based",Windows,Free,None
Bloody Hell,https://store.steampowered.com/app/2056220/Bloody_Hell/?snr=1_239_new__145,"Metroidvania, Bullet Hell, Twin Stick Shooter, Indie",Windows,Free,None
Dead Space,https://store.steampowered.com/app/1693980/Dead_Space/?snr=1_239_new__145,"Horror, Third-Person Shooter, Sci-fi, Space",Windows,COL$ 234.999,None
Dead Space,https://store.steampowered.com/app/1693980/Dead_Space/?snr=1_239_new__145,"Horror, Third-Person Shooter, Sci-fi, Space",Windows,COL$ 234.999,None
Crosshair V2,https://store.steampowered.com/app/2250040/Crosshair_V2/?snr=1_239_new__145,Utilities,Windows,Free,None
Pizza Tower,https://store.steampowered.com/app/2231450/Pizza_Tower/?snr=1_239_new__145,"2D Platformer, Great Soundtrack, Cartoony, Action",Windows,COL$ 47.500,None
Hi-Fi RUSH,https://store.steampowered.com/app/1817230/HiFi_RUSH/?snr=1_239_new__145,"Rhythm, Action, Hack and Slash, Singleplayer",Windows,COL$ 119.900,None
Pets Hotel: Prologue,https://store.steampowered.com/app/2148930/Pets_Hotel_Prologue/?snr=1_239_new__145,"Simulation, Family Friendly, Realistic, Relaxing",Windows,Free To Play,None
